,observed_taxa,shannon,simpson,group
ERR1017187,84,2.905529855300915,0.87165,Alaska / Oklahoma
ERR1019366,98,3.4415941682042863,0.9350919999999999,Alaska / Oklahoma
ERR1022687,79,2.8960254571938764,0.888486,Alaska / Oklahoma
ERR1022692,79,3.0491174943030757,0.9043779999999999,Alaska / Oklahoma
ERR1034454,89,2.9635272165981084,0.883628,Alaska / Oklahoma
ERR1035437,125,3.754470801499969,0.954256,Alaska / Oklahoma
ERR1035438,79,2.930546326727235,0.887868,Alaska / Oklahoma
ERR1035441,70,2.7996047724420183,0.872814,Alaska / Oklahoma
ERR1039457,96,3.213603957975665,0.9123399999999999,Alaska / Oklahoma
ERR1039458,80,3.0083701390379787,0.903694,Alaska / Oklahoma
ERR1039459,62,2.665724101129416,0.8527199999999999,Alaska / Oklahoma
ERR1039460,69,2.7967025764042566,0.881992,Alaska / Oklahoma
ERR1039461,65,2.7077691826368326,0.837658,Alaska / Oklahoma
ERR1039462,58,2.2545533831139135,0.745114,Alaska / Oklahoma
ERR1039463,61,2.4818433659291808,0.8283579999999999,Alaska / Oklahoma
ERR1039464,71,2.8357186284781277,0.876228,Alaska / Oklahoma
ERR1039465,73,2.96905535718595,0.888956,Alaska / Oklahoma
ERR1039466,85,3.2369003659758877,0.920954,Alaska / Oklahoma
ERR1039467,77,2.8866136771853945,0.877582,Alaska / Oklahoma
ERR1039468,60,2.4214098550521133,0.804812,Alaska / Oklahoma
ERR1039469,63,2.5770204068050653,0.8392859999999999,Alaska / Oklahoma
ERR1039471,117,3.8756310689987448,0.9636779999999999,Alaska / Oklahoma
ERR1039472,101,3.5905213694705185,0.94716,Alaska / Oklahoma
ERR1039473,115,4.048556306207069,0.97336,Alaska / Oklahoma
ERR1039474,105,3.4617015992562474,0.9241699999999999,Alaska / Oklahoma
ERR1039475,114,3.8354082006909085,0.962426,Alaska / Oklahoma
ERR1039476,135,4.08972276692553,0.971424,Alaska / Oklahoma
ERR1039477,115,4.016160957040049,0.970268,Alaska / Oklahoma
ERR1041384,134,4.183847937456864,0.97501,Alaska / Oklahoma
ERR1041385,123,4.081245659731691,0.972174,Alaska / Oklahoma
ERR1043165,157,4.347596862150043,0.979966,Alaska / Oklahoma
ERR1043166,120,3.968927526812335,0.9701919999999999,Alaska / Oklahoma
ERR1044071,142,4.235023648465978,0.977808,Alaska / Oklahoma
ERR1044072,151,4.284722690695581,0.977452,Alaska / Oklahoma
ERR1051325,132,4.060425726735387,0.970992,Alaska / Oklahoma
ERR1051326,130,3.9364744655782182,0.966888,Alaska / Oklahoma
SRR900226,40,2.3383539598989556,0.815916,Atacama
SRR901090,66,2.9063370725474162,0.9133560000000001,Atacama
SRR901100,15,1.1123679819401688,0.552138,Atacama
SRR901110,26,2.3952188018740146,0.85475,Atacama
SRR901120,71,3.2497269936185598,0.936984,Atacama
SRR901130,15,0.6827892843359936,0.286172,Atacama
SRR901081,49,2.5621055671217228,0.874908,Atacama
SRR901091,73,3.024834394081538,0.901326,Atacama
SRR901121,73,3.1529423939688166,0.9226599999999999,Atacama
SRR901131,13,1.015153576374702,0.45432799999999984,Atacama
SRR901141,29,1.3949283364995415,0.5136140000000003,Atacama
SRR901032,50,2.792914270132334,0.898446,Atacama
SRR901082,44,2.662531012442806,0.88005,Atacama
SRR901092,66,2.5110363758147383,0.8302399999999999,Atacama
SRR901102,34,1.2448153302253109,0.4080619999999996,Atacama
SRR901112,37,2.1319912954523126,0.80264,Atacama
SRR901132,17,1.3021038668372202,0.552998,Atacama
SRR901142,18,1.0946862999667597,0.4633599999999999,Atacama
SRR901093,36,1.7455217758752481,0.6210980000000003,Atacama
SRR901103,33,2.1370829645057614,0.820624,Atacama
SRR901113,34,1.505784595881894,0.5210920000000001,Atacama
SRR901133,17,1.2471992167195287,0.529074,Atacama
SRR901143,32,1.2071224650383205,0.41582199999999947,Atacama
SRR901094,17,1.1512124332350877,0.5703820000000002,Atacama
SRR901104,40,2.1242830047817645,0.7790739999999999,Atacama
SRR901114,28,1.1533156383869603,0.41878599999999944,Atacama
SRR901144,27,1.8263049900259605,0.7636700000000001,Atacama
SRR901095,40,1.8827263574328765,0.6892480000000004,Atacama
SRR901105,39,1.914975201724324,0.6786000000000004,Atacama
SRR901115,28,1.6574685041113046,0.7287500000000002,Atacama
SRR901135,17,0.9653515612088028,0.4012899999999998,Atacama
SRR901086,65,3.0075082851479475,0.91239,Atacama
SRR901096,26,1.3004020354890626,0.5818380000000003,Atacama
SRR901116,37,1.4394388862745255,0.4874879999999996,Atacama
SRR901136,20,0.6932842743316887,0.27638799999999986,Atacama
SRR901087,73,3.0750806349221054,0.921202,Atacama
SRR901097,43,1.2300287037247404,0.3830139999999993,Atacama
SRR901127,79,3.3703914819502354,0.942614,Atacama
SRR901137,33,1.8961765383236282,0.7071600000000003,Atacama
SRR901088,69,2.7920308306697077,0.8565099999999999,Atacama
SRR901098,42,1.5575027293075485,0.4981960000000001,Atacama
SRR901108,33,2.1101992038155797,0.8097059999999999,Atacama
SRR901118,29,1.9644698685154807,0.7851459999999999,Atacama
SRR901128,14,0.9582443749800311,0.4258939999999999,Atacama
SRR901079,48,2.4732778392319164,0.833664,Atacama
SRR901089,62,3.0344596625337927,0.907188,Atacama
SRR901099,39,1.6842347229251144,0.5810280000000003,Atacama
SRR901129,15,1.011252092009788,0.4214119999999999,Atacama
SRR901139,14,1.025317568988634,0.45221599999999984,Atacama
