,reads,group
ERR1017187,44518.0,Alaska / Oklahoma
ERR1019366,47457.0,Alaska / Oklahoma
ERR1022687,50170.0,Alaska / Oklahoma
ERR1022692,25050.0,Alaska / Oklahoma
ERR1034454,41295.0,Alaska / Oklahoma
ERR1035437,55075.0,Alaska / Oklahoma
ERR1035438,44262.0,Alaska / Oklahoma
ERR1035441,42318.0,Alaska / Oklahoma
ERR1039457,29498.0,Alaska / Oklahoma
ERR1039458,41856.0,Alaska / Oklahoma
ERR1039459,107116.0,Alaska / Oklahoma
ERR1039460,103146.0,Alaska / Oklahoma
ERR1039461,107101.0,Alaska / Oklahoma
ERR1039462,126861.0,Alaska / Oklahoma
ERR1039463,120350.0,Alaska / Oklahoma
ERR1039464,111071.0,Alaska / Oklahoma
ERR1039465,115970.0,Alaska / Oklahoma
ERR1039466,91630.0,Alaska / Oklahoma
ERR1039467,111715.0,Alaska / Oklahoma
ERR1039468,110813.0,Alaska / Oklahoma
ERR1039469,125001.0,Alaska / Oklahoma
ERR1039471,98847.0,Alaska / Oklahoma
ERR1039472,88541.0,Alaska / Oklahoma
ERR1039473,90419.0,Alaska / Oklahoma
ERR1039474,81550.0,Alaska / Oklahoma
ERR1039475,86639.0,Alaska / Oklahoma
ERR1039476,93343.0,Alaska / Oklahoma
ERR1039477,83402.0,Alaska / Oklahoma
ERR1041384,51123.0,Alaska / Oklahoma
ERR1041385,44094.0,Alaska / Oklahoma
ERR1043165,54856.0,Alaska / Oklahoma
ERR1043166,44006.0,Alaska / Oklahoma
ERR1044071,61966.0,Alaska / Oklahoma
ERR1044072,46292.0,Alaska / Oklahoma
ERR1051325,61840.0,Alaska / Oklahoma
ERR1051326,46134.0,Alaska / Oklahoma
SRR900226,2771.0,Atacama
SRR901090,2311.0,Atacama
SRR901100,1385.0,Atacama
SRR901110,2633.0,Atacama
SRR901120,1082.0,Atacama
SRR901130,3032.0,Atacama
SRR901081,2320.0,Atacama
SRR901091,3081.0,Atacama
SRR901121,2602.0,Atacama
SRR901131,3283.0,Atacama
SRR901141,1823.0,Atacama
SRR901032,2698.0,Atacama
SRR901082,1751.0,Atacama
SRR901092,133574.0,Atacama
SRR901102,2233.0,Atacama
SRR901112,1887.0,Atacama
SRR901132,3346.0,Atacama
SRR901142,4147.0,Atacama
SRR901093,1661.0,Atacama
SRR901103,2608.0,Atacama
SRR901113,3101.0,Atacama
SRR901133,1643.0,Atacama
SRR901143,4054.0,Atacama
SRR901094,3041.0,Atacama
SRR901104,4065.0,Atacama
SRR901114,3801.0,Atacama
SRR901144,1277.0,Atacama
SRR901095,1435.0,Atacama
SRR901105,3707.0,Atacama
SRR901115,2605.0,Atacama
SRR901135,3888.0,Atacama
SRR901086,1127.0,Atacama
SRR901096,2337.0,Atacama
SRR901116,3746.0,Atacama
SRR901136,4024.0,Atacama
SRR901087,1265.0,Atacama
SRR901097,4079.0,Atacama
SRR901127,1123.0,Atacama
SRR901137,4372.0,Atacama
SRR901088,1791.0,Atacama
SRR901098,3059.0,Atacama
SRR901108,1030.0,Atacama
SRR901118,1627.0,Atacama
SRR901128,2549.0,Atacama
SRR901079,2802.0,Atacama
SRR901089,1469.0,Atacama
SRR901099,1398.0,Atacama
SRR901129,3857.0,Atacama
SRR901139,3419.0,Atacama
